,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,optimal_euclidean_distance,temporal_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
642,hand_selected_008,8443-39606760-f554-4047-bbe2-fba6c5d88180,3,repetition 1,repetition 2,1.9608635268870778,repetition 1 to repetition 2,0.4943877491981309,0.7777777777777778,0.8372093023255813,1.0,repeated
643,hand_selected_008,8443-39606760-f554-4047-bbe2-fba6c5d88180,4,repetition 1,post,3.284088489886456,repetition 1 to post,1.375215153458017,0.611111111111111,0.8372093023255813,1.0,repeated
644,hand_selected_008,8443-39606760-f554-4047-bbe2-fba6c5d88180,5,repetition 2,post,2.6096105402118854,repetition 2 to post,0.7422194548153613,0.5636363636363636,1.0,1.0,repeated
645,hand_selected_008,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,0,pre,repetition 1,2.603169825361218,pre to repetition 1,1.9723074984314173,0.8095238095238096,0.6666666666666665,0.8095238095238095,repeated
646,hand_selected_008,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,1,pre,repetition 2,3.52775850835626,pre to repetition 2,2.4112995404426347,0.6190476190476191,0.6666666666666665,0.7073170731707317,repeated
647,hand_selected_008,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,2,pre,post,2.9252943131800353,pre to post,0.6579358964948556,0.7142857142857143,0.6666666666666665,0.8846153846153846,repeated
648,hand_selected_008,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,3,repetition 1,repetition 2,2.3192444417291913,repetition 1 to repetition 2,0.6846975177964867,0.6666666666666666,0.8095238095238095,0.7073170731707317,repeated
649,hand_selected_008,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,4,repetition 1,post,3.6222938402924925,repetition 1 to post,2.1779793655818596,0.611111111111111,0.8095238095238095,0.8846153846153846,repeated
650,hand_selected_008,8643-ca88fa7f-12b9-44fe-8baf-52b96ddf3ec3,5,repetition 2,post,4.198644264405548,repetition 2 to post,2.371086561394394,0.5111111111111111,0.7073170731707317,0.8846153846153846,repeated
651,hand_selected_008,9029-bf6aa9be-2c19-4801-8b58-04f3a2398178,0,pre,repetition 1,3.581829485754688,pre to repetition 1,1.9782859112927855,0.5238095238095238,0.9166666666666666,0.8095238095238095,repeated
