,targetName,gameID,level_2,phase_a,phase_b,actual_euclidean_distance,phase_pair,baseline,optimal_euclidean_distance,phase_a_rawF1DiscreteScore,phase_b_rawF1DiscreteScore,condition
2727,hand_selected_016,4532-90422267-2aa2-4502-bae9-d1599ddaf3cd,2,pre,post,3.784471603644174,pre to post,no,0.562218319270854,0.5625000000000001,0.9318181818181818,repeated
2728,hand_selected_016,4532-90422267-2aa2-4502-bae9-d1599ddaf3cd,3,repetition 1,repetition 2,3.7086391316106617,repetition 1 to repetition 2,no,0.36363636363636365,1.0,1.0,repeated
2729,hand_selected_016,4532-90422267-2aa2-4502-bae9-d1599ddaf3cd,4,repetition 1,post,3.4982880625501043,repetition 1 to post,no,1.45999804426593,1.0,0.9318181818181818,repeated
2730,hand_selected_016,4532-90422267-2aa2-4502-bae9-d1599ddaf3cd,5,repetition 2,post,3.0910914284540776,repetition 2 to post,no,1.318111483317162,1.0,0.9318181818181818,repeated
2731,hand_selected_016,4611-415301bd-3cd2-4751-9911-e530d1bce758,0,pre,post,1.9000565308791815,pre to post,no,1.6560395950228888,0.3076923076923077,0.4827586206896552,control
2732,hand_selected_016,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,0,pre,repetition 1,2.0684191671797265,pre to repetition 1,no,1.3845651043887575,0.9069767441860463,0.8571428571428572,repeated
2733,hand_selected_016,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,1,pre,repetition 2,5.592740304249698,pre to repetition 2,no,2.2131746878036522,0.9069767441860463,0.8780487804878049,repeated
2734,hand_selected_016,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,2,pre,post,3.8311186866462594,pre to post,no,1.349623747100101,0.9069767441860463,1.0,repeated
2735,hand_selected_016,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,3,repetition 1,repetition 2,5.332342905603677,repetition 1 to repetition 2,no,2.067368478593035,0.8571428571428572,0.8780487804878049,repeated
2736,hand_selected_016,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,4,repetition 1,post,3.600425124662857,repetition 1 to post,no,1.0324087547551046,0.8571428571428572,1.0,repeated
2737,hand_selected_016,4767-25505ba0-468f-4600-9858-5ec84d2bba3b,5,repetition 2,post,3.908670414775607,repetition 2 to post,no,1.9169852519296358,0.8780487804878049,1.0,repeated
2738,hand_selected_016,4800-26e80238-f0d8-476d-bf15-de31ecc505b3,0,pre,repetition 1,5.085991344065161,pre to repetition 1,no,3.4883994912728524,0.8717948717948718,0.6052631578947368,repeated
2739,hand_selected_016,4800-26e80238-f0d8-476d-bf15-de31ecc505b3,1,pre,repetition 2,4.9836383443366525,pre to repetition 2,no,3.3725235650652188,0.8717948717948718,0.902439024390244,repeated
2740,hand_selected_016,4800-26e80238-f0d8-476d-bf15-de31ecc505b3,2,pre,post,3.499118233508206,pre to post,no,2.2078686363867073,0.8717948717948718,0.7000000000000001,repeated
2741,hand_selected_016,4800-26e80238-f0d8-476d-bf15-de31ecc505b3,3,repetition 1,repetition 2,1.9418954860719664,repetition 1 to repetition 2,no,1.4168859363865718,0.6052631578947368,0.902439024390244,repeated
2742,hand_selected_016,4800-26e80238-f0d8-476d-bf15-de31ecc505b3,4,repetition 1,post,3.2806250188913593,repetition 1 to post,no,1.8838834764831844,0.6052631578947368,0.7000000000000001,repeated
2743,hand_selected_016,4800-26e80238-f0d8-476d-bf15-de31ecc505b3,5,repetition 2,post,3.6707001261950007,repetition 2 to post,no,1.829786066786195,0.902439024390244,0.7000000000000001,repeated
2744,hand_selected_016,4889-4e19ed70-4376-476c-857e-028e0af87a64,0,pre,post,6.239899505199054,pre to post,no,1.9129911132421895,0.4799999999999999,0.6896551724137931,control
2745,hand_selected_016,5147-d762077a-cc46-4e92-9eea-ba8f3cfbbbdc,0,pre,repetition 1,2.12900751051999,pre to repetition 1,no,1.776535260128582,0.7142857142857143,0.7380952380952381,repeated
2746,hand_selected_016,5147-d762077a-cc46-4e92-9eea-ba8f3cfbbbdc,1,pre,repetition 2,2.6616995809710953,pre to repetition 2,no,1.927866001242674,0.7142857142857143,0.7209302325581395,repeated
2747,hand_selected_016,5147-d762077a-cc46-4e92-9eea-ba8f3cfbbbdc,2,pre,post,2.9008458927091954,pre to post,no,2.523996247327459,0.7142857142857143,0.7380952380952381,repeated
2748,hand_selected_016,5147-d762077a-cc46-4e92-9eea-ba8f3cfbbbdc,3,repetition 1,repetition 2,1.5082055034717143,repetition 1 to repetition 2,no,1.5082055034717143,0.7380952380952381,0.7209302325581395,repeated
2749,hand_selected_016,5147-d762077a-cc46-4e92-9eea-ba8f3cfbbbdc,4,repetition 1,post,1.5682980657381302,repetition 1 to post,no,1.37222161078057,0.7380952380952381,0.7380952380952381,repeated
2750,hand_selected_016,5147-d762077a-cc46-4e92-9eea-ba8f3cfbbbdc,5,repetition 2,post,2.5031130198632994,repetition 2 to post,no,1.2469305487661158,0.7209302325581395,0.7380952380952381,repeated
2751,hand_selected_016,5297-31ebba85-e71d-4a00-9a58-7e31948237a0,0,pre,post,3.611915236488605,pre to post,no,1.5590169943749475,0.6666666666666665,0.4285714285714285,control
2752,hand_selected_016,5323-a060fda9-d76f-4df9-b8c4-f5af66db95eb,0,pre,repetition 1,2.2464977082714745,pre to repetition 1,no,0.623606797749979,1.0,1.0,repeated
2753,hand_selected_016,5323-a060fda9-d76f-4df9-b8c4-f5af66db95eb,1,pre,repetition 2,2.7480559690766824,pre to repetition 2,no,0.6422268274769073,1.0,1.0,repeated
2754,hand_selected_016,5323-a060fda9-d76f-4df9-b8c4-f5af66db95eb,2,pre,post,2.3596650650479547,pre to post,no,0.7331359183859981,1.0,0.9545454545454546,repeated
2755,hand_selected_016,5323-a060fda9-d76f-4df9-b8c4-f5af66db95eb,3,repetition 1,repetition 2,0.282842712474619,repetition 1 to repetition 2,no,0.282842712474619,1.0,1.0,repeated
2756,hand_selected_016,5323-a060fda9-d76f-4df9-b8c4-f5af66db95eb,4,repetition 1,post,0.9208664261675782,repetition 1 to post,no,0.3,1.0,0.9545454545454546,repeated
2757,hand_selected_016,5323-a060fda9-d76f-4df9-b8c4-f5af66db95eb,5,repetition 2,post,1.1106089637761463,repetition 2 to post,no,0.09090909090909091,1.0,0.9545454545454546,repeated
2758,hand_selected_016,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,0,pre,repetition 1,5.3318897415744235,pre to repetition 1,no,1.8893070904050624,0.717948717948718,0.9166666666666666,repeated
2759,hand_selected_016,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,1,pre,repetition 2,5.006181486412011,pre to repetition 2,no,1.084161925296378,0.717948717948718,1.0,repeated
2760,hand_selected_016,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,2,pre,post,4.9460630617775125,pre to post,no,1.1077687230463569,0.717948717948718,1.0,repeated
2761,hand_selected_016,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,3,repetition 1,repetition 2,2.9155490135780138,repetition 1 to repetition 2,no,1.13293679838477,0.9166666666666666,1.0,repeated
2762,hand_selected_016,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,4,repetition 1,post,3.1349550439554412,repetition 1 to post,no,1.5364050694650848,0.9166666666666666,1.0,repeated
2763,hand_selected_016,5561-b91645e7-99ed-4bc3-bed2-033e730ddfc8,5,repetition 2,post,1.2802567583920093,repetition 2 to post,no,0.6035533905932738,1.0,1.0,repeated
