trialNum,rawF1DiscreteScore,repetition,gameID,targetName,condition,phase,buildTime,bis
14,0.0021217079090427994,2,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_006,repeated,repeated,-3.697524260111491,3.699645968020534
15,1.0465810205022044,2,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_005,repeated,repeated,-1.0323135957792189,2.0788946162814232
16,0.04656678504066474,3,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_006,repeated,post,0.6615907860914811,-0.6150240010508164
17,-1.1226806287297506,3,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_012,control,post,0.7107195488009663,-1.833400177530717
18,-1.3034524328324129,3,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_005,repeated,post,-1.4974058061376248,0.1939533733052119
19,-0.9858803445439511,3,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_016,control,post,0.7285126620559106,-1.7143930065998618
20,1.0465810205022044,3,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_004,repeated,post,0.2998963338701406,0.7466846866320638
21,-0.06868909294473276,3,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_011,control,post,0.2296135365131105,-0.29830262945784325
22,0.8547415549238692,3,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_008,control,post,0.7783333791697548,0.0764081757541144
23,0.850744899390986,3,0696-c7f6bc88-04be-490d-9bf4-0e0092946d86,hand_selected_009,repeated,post,0.08321575467659635,0.7675291447143896
0,0.3965871730932761,0,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_004,repeated,pre,0.7373668589937319,-0.34077968590045576
1,-0.8312236669145672,0,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_006,control,pre,0.05211598423987612,-0.8833396511544434
2,-2.9242276377051404,0,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_005,repeated,pre,-4.520705606785854,1.5964779690807136
3,0.20315667386224054,0,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_012,control,pre,0.36887408824165846,-0.16571741437941792
4,0.15120676835447758,0,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_016,repeated,pre,0.06500295898994864,0.08620380936452894
5,-0.921619187247715,0,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_011,control,pre,0.5438754699926431,-1.4654946572403582
6,0.3647786021086184,0,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_008,control,pre,0.029517086489748965,0.3352615156188694
7,0.5006879508612524,0,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_009,repeated,pre,0.6122324664930278,-0.11154451563177536
8,0.1735573090961893,1,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_009,repeated,repeated,0.09283135374010522,0.08072595535608408
9,0.9803680052823157,1,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_004,repeated,repeated,0.18658876424063275,0.793779241041683
10,-0.12699864666736263,1,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_016,repeated,repeated,-0.3090928442621563,0.18209419759479364
11,-1.3865104346753319,1,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_005,repeated,repeated,-0.022777883510545285,-1.3637325511647866
12,0.8260028813861755,2,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_009,repeated,repeated,0.2859492072411918,0.5400536741449837
13,-1.064268226687467,2,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_016,repeated,repeated,0.7554833307438338,-1.8197515574313008
14,0.8431795097178909,2,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_005,repeated,repeated,-0.686176931514278,1.529356441232169
15,0.11031003423134324,2,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_004,repeated,repeated,0.5158603074924855,-0.40555027326114224
16,0.9558262350561211,3,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_016,repeated,post,0.25662667049102683,0.6991995645650942
17,0.831966988445799,3,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_008,control,post,0.31826002799137365,0.5137069604544253
18,1.1122800202481076,3,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_004,repeated,post,0.07172659798998647,1.0405534222581212
19,0.831966988445799,3,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_005,repeated,post,-0.2364401895117475,1.0684071779575466
20,0.10315310575979622,3,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_012,control,post,-0.11037195826103816,0.21352506402083438
21,-0.6025761743071937,3,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_011,control,post,0.5590036577427282,-1.161579832049922
22,1.1122800202481076,3,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_009,repeated,post,0.33731033849148084,0.7749696817566267
23,-1.6398842919927439,3,0750-6e9daa66-cf41-4b5f-8626-8cac81c5597b,hand_selected_006,control,post,0.09694024424012834,-1.7368245362328723
0,-0.8727792956543821,0,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_008,control,pre,1.2633589655699637,-2.136138261224346
1,-3.0274190515105244,0,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_006,repeated,pre,-2.1808754796506338,-0.8465435718598906
2,0.02135992962935496,0,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_005,repeated,pre,0.1218034975908741,-0.10044356796151914
3,0.6534238647437194,0,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_009,control,pre,1.3338557500608963,-0.6804318853171769
4,0.37531573329339857,0,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_011,repeated,pre,-0.06273220298833168,0.4380479362817302
5,-1.5959801396338735,0,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_016,control,pre,1.4709616287215703,-3.066941768355444
6,-1.2119355535206262,0,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_004,control,pre,1.1546332262539851,-2.366568779774611
7,0.6534238647437194,0,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_012,repeated,pre,-0.33746231901917173,0.9908861837628911
8,0.6534238647437194,1,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_012,repeated,repeated,-1.1200543806749468,1.7734782454186662
9,0.6534238647437194,1,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_011,repeated,repeated,0.8237907799206197,-0.17036691517690028
10,-0.3008687431740478,1,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_006,repeated,repeated,-0.0487365178320436,-0.25213222534200425
11,0.6534238647437194,1,0823-6fe08630-db1c-47e9-b895-7a2bf343bb77,hand_selected_005,repeated,repeated,0.4719548058528221,0.18146905889089726
